PCode,PCode Name,Governorate,District,Cadastral,Local Name,Latitude,Longitude,Shelter Type,Status,Number of tents,Number of Individuals,Date of update,Updated By,Updated On,Discovery Date,Date the site was created,Number of Latrines,Number of 1000 Litre Tanks,Type of Water Source,Waste Disposal,Type of Contract
#loc+code,#loc,#adm1,#adm2,#adm3,#loc+localname,#geo+lat,#geo+lon,#shelter+type,#status,#shelter+tents,#population,#date,#org,#date+updated,#date+discovered,#date+created,#wash+latrines,#wash+water+tanks,#wash+watersource,#wash+wastedisposal,#shelter+contracttype
21394-01-001,Salima Baabda 001,Mount Lebanon,Baabda,Salima Baabda,Salima,33.87413,35.70763,IS- Informal Settlement,Less than 4,3,11,1/4/16,PU-AMI,Last Update - 2015,8/30/15,5/28/14,0,0,Spring,Municipality Collection,None
22423-01-001,Aain Saad‚ 001,Mount Lebanon,El Metn,Aain Saad‚,Ain Saade,33.86484,35.60031,IS- Informal Settlement,Less than 4,2,11,2/23/16,PU-AMI,First Update - 2016,10/28/15,1/1/11,2,2,Water Network,Municipality Collection,None
22711-01-002,Mtain 002,Mount Lebanon,El Metn,Mtain,Mtein,33.8978,35.76062,IS- Informal Settlement,Less than 4,1,7,2/23/16,PU-AMI,First Update - 2016,10/30/15,12/1/12,1,0,Water Network,Burn it,None
22724-01-001,Bnabil 001,Mount Lebanon,El Metn,Bnabil,Bnabil IS,33.89802,35.73252,IS- Informal Settlement,Active,11,50,2/24/16,PU-AMI,First Update - 2016,4/3/14,1/3/12,9,7,Spring,Burn it,Verbal
23111-01-001,Damour 001,Mount Lebanon,Chouf,Damour,Mshref ITS,33.71664,35.45842,IS- Informal Settlement,Less than 4,2,21,2/17/16,PU-AMI,First Update - 2016,1/4/14,3/1/11,2,2,Borehole,Municipality Collection,None
23111-01-002,Damour 002,Mount Lebanon,Chouf,Damour,Damour,33.70951,35.44519,IS- Informal Settlement,Less than 4,2,10,2/17/16,PU-AMI,First Update - 2016,10/21/15,10/1/12,1,1,Water Network,Burn it,None
23111-01-003,Damour 003,Mount Lebanon,Chouf,Damour,Damour,33.71647,35.4567,IS- Informal Settlement,Less than 4,2,17,2/17/16,PU-AMI,First Update - 2016,10/21/15,3/1/11,2,2,Borehole,Municipality Collection,None
23111-01-004,Damour 004,Mount Lebanon,Chouf,Damour,Damour,33.71648,35.44559,IS- Informal Settlement,Less than 4,1,10,2/17/16,PU-AMI,First Update - 2016,10/21/15,11/21/13,1,2,Borehole,Burn it,None
23111-01-005,Damour 005,Mount Lebanon,Chouf,Damour,Damour,33.7154,35.44703,IS- Informal Settlement,Less than 4,2,13,2/17/16,PU-AMI,First Update - 2016,11/2/15,7/1/15,2,1,Water Network,Burn it,None
23111-01-006,Damour 006,Mount Lebanon,Chouf,Damour,Damour,33.7277,35.45023,IS- Informal Settlement,Less than 4,1,5,2/17/16,PU-AMI,First Update - 2016,12/18/15,1/1/14,1,0,Borehole,Municipality Collection,None
23141-01-001,Naam‚ 001,Mount Lebanon,Chouf,Naam‚,Naame,33.73969,35.45408,IS- Informal Settlement,Less than 4,1,6,2/17/16,PU-AMI,First Update - 2016,12/17/15,9/30/12,1,1,Water Trucking,Municipality Collection,None
23141-01-002,Naam‚ 002,Mount Lebanon,Chouf,Naam‚,Naame,33.73693,35.45223,IS- Informal Settlement,Active,11,70,2/17/16,PU-AMI,First Update - 2016,12/18/15,7/1/11,10,8,River,Municipality Collection,None
23141-01-003,Naam‚ 003,Mount Lebanon,Chouf,Naam‚,Naame,33.73466,35.45276,IS- Informal Settlement,Less than 4,2,9,2/17/16,PU-AMI,First Update - 2016,12/18/15,10/5/12,2,2,Borehole,Municipality Collection,None
23231-01-001,Ketermaya 001,Mount Lebanon,Chouf,Ketermaya,Katermaya 1,33.61921,35.45635,IS- Informal Settlement,Active,49,333,1/11/16,PU-AMI,Last Update - 2015,4/4/14,1/1/12,0,0,Water Network,Burn it,None
23239-01-001,Aanout 001,Mount Lebanon,Chouf,Aanout,Aanout - Al Dafran ITS,33.63086,35.52425,IS- Informal Settlement,Active,6,48,12/15/15,PU-AMI,Last Update - 2015,1/4/14,12/19/12,0,0,Water Network,Burn it,Verbal
23239-01-002,Aanout 002,Mount Lebanon,Chouf,Aanout,Aanout New,33.62548,35.52052,IS- Informal Settlement,Less than 4,1,6,12/15/15,PU-AMI,Last Update - 2015,8/13/15,6/1/15,0,0,Water Network,Municipality Collection,None
23267-01-004,Jiy‚ 004,Mount Lebanon,Chouf,Jiy‚,Jiyeh Lazy B,33.68164,35.42072,IS- Informal Settlement,Less than 4,2,9,12/17/15,PU-AMI,Last Update - 2015,8/21/14,7/18/13,0,0,Borehole,Burn it,None
23267-01-005,Jiy‚ 005,Mount Lebanon,Chouf,Jiy‚,Jieh 5,33.66618,35.42075,IS- Informal Settlement,Less than 4,2,10,2/17/16,PU-AMI,First Update - 2016,8/21/14,10/5/11,1,0,Borehole,Municipality Collection,None
23267-01-006,Jiy‚ 006,Mount Lebanon,Chouf,Jiy‚,Jiyeh Golden Tulip ITS,33.66826,35.42352,IS- Informal Settlement,Active,8,39,2/17/16,PU-AMI,First Update - 2016,1/4/14,3/18/14,8,5,Borehole,Municipality Collection,Written
23267-01-007,Jiy‚ 007,Mount Lebanon,Chouf,Jiy‚,Zarout ITS,33.64798,35.41266,IS- Informal Settlement,Active,8,47,12/16/15,PU-AMI,Last Update - 2015,1/4/14,3/1/12,0,0,Water Trucking,Municipality Collection,None
23267-01-009,Jiy‚ 009,Mount Lebanon,Chouf,Jiy‚,jiy‚,33.66106,35.42305,IS- Informal Settlement,Less than 4,2,8,2/17/16,PU-AMI,First Update - 2016,2/18/15,9/1/14,1,0,Borehole,Municipality Collection,None
23267-01-011,Jiy‚ 011,Mount Lebanon,Chouf,Jiy‚,JiyŠ new,33.66256,35.42644,IS- Informal Settlement,Less than 4,1,5,2/17/16,PU-AMI,First Update - 2016,6/17/15,1/17/13,1,0,Borehole,Municipality Collection,Verbal
23267-01-012,Jiy‚ 012,Mount Lebanon,Chouf,Jiy‚,Jiyeh,33.67052,35.42241,IS- Informal Settlement,Less than 4,3,13,2/17/16,PU-AMI,First Update - 2016,10/20/15,10/20/11,2,0,Borehole,Municipality Collection,Verbal
23267-01-013,Jiy‚ 013,Mount Lebanon,Chouf,Jiy‚,Jiyeh,33.65135,35.41652,IS- Informal Settlement,Less than 4,2,17,12/16/15,PU-AMI,Last Update - 2015,10/20/15,10/1/11,0,0,Borehole,Municipality Collection,Written
23267-01-014,Jiy‚ 014,Mount Lebanon,Chouf,Jiy‚,Jiyyi,33.65052,35.41264,IS- Informal Settlement,Less than 4,3,15,12/16/15,PU-AMI,Last Update - 2015,10/20/15,6/20/14,0,0,Water Network,Municipality Collection,None
23267-01-015,Jiy‚ 015,Mount Lebanon,Chouf,Jiy‚,Jiyi,33.65962,35.4232,IS- Informal Settlement,Less than 4,2,12,2/17/16,PU-AMI,First Update - 2016,10/20/15,6/1/13,1,0,Borehole,Municipality Collection,Verbal
23267-01-016,Jiy‚ 016,Mount Lebanon,Chouf,Jiy‚,Jiyeh,33.66212,35.42054,IS- Informal Settlement,Less than 4,2,11,2/17/16,PU-AMI,First Update - 2016,10/20/15,6/1/14,1,0,Borehole,Municipality Collection,Verbal
23267-01-017,Jiy‚ 017,Mount Lebanon,Chouf,Jiy‚,jiyeh,33.68372,35.42655,IS- Informal Settlement,Less than 4,1,6,12/17/15,PU-AMI,Last Update - 2015,11/2/15,9/26/12,0,0,Borehole,Burn it,None
23267-01-018,Jiy‚ 018,Mount Lebanon,Chouf,Jiy‚,jeye,33.67011,35.4205,IS- Informal Settlement,Less than 4,2,11,2/17/16,PU-AMI,First Update - 2016,12/17/15,11/16/15,2,0,Borehole,Municipality Collection,Verbal
23267-01-019,Jiy‚ 019,Mount Lebanon,Chouf,Jiy‚,Jeye,33.66346,35.42491,IS- Informal Settlement,Less than 4,2,16,2/17/16,PU-AMI,First Update - 2016,12/17/15,6/1/12,3,1,Borehole,Burn it,Verbal
23267-01-020,Jiy‚ 020,Mount Lebanon,Chouf,Jiy‚,jeye,33.66453,35.42387,IS- Informal Settlement,Less than 4,3,16,2/17/16,PU-AMI,First Update - 2016,12/17/15,10/1/13,3,0,Borehole,Municipality Collection,Verbal
23267-01-021,Jiy‚ 021,Mount Lebanon,Chouf,Jiy‚,jeye,33.6721,35.41956,IS- Informal Settlement,Active,8,56,1/11/16,PU-AMI,Last Update - 2015,1/11/16,12/1/11,0,0,Borehole,Burn it,None
23267-01-022,Jiy‚ 022,Mount Lebanon,Chouf,Jiy‚,Jiye,33.66965,35.42193,IS- Informal Settlement,Less than 4,1,7,2/17/16,PU-AMI,First Update - 2016,2/17/16,1/1/15,2,1,Borehole,Burn it,Verbal
23311-01-002,Aalmane Ech-Chouf 002,Mount Lebanon,Chouf,Aalmane Ech-Chouf,Aalmane al dayaa 2,33.59974,35.41222,IS- Informal Settlement,Active,8,38,2/16/16,PU-AMI,First Update - 2016,4/1/14,6/23/12,8,8,Water Network,Burn it,Verbal
23311-01-003,Aalmane Ech-Chouf 003,Mount Lebanon,Chouf,Aalmane Ech-Chouf,Aalman el chouf 1,33.58499,35.40581,IS- Informal Settlement,Less than 4,2,14,2/16/16,PU-AMI,First Update - 2016,7/15/14,12/6/11,2,1,Water Network,Municipality Collection,Verbal
23311-01-006,Aalmane Ech-Chouf 006,Mount Lebanon,Chouf,Aalmane Ech-Chouf, Aalmane 006,33.59797,35.41635,IS- Informal Settlement,Less than 4,2,14,2/16/16,PU-AMI,First Update - 2016,4/20/15,3/1/11,2,1,Borehole,Burn it,Verbal
23311-01-007,Aalmane Ech-Chouf 007,Mount Lebanon,Chouf,Aalmane Ech-Chouf, Aalmane 007,33.59882,35.41366,IS- Informal Settlement,Active,5,37,2/16/16,PU-AMI,First Update - 2016,4/20/15,7/20/13,4,1,Water Network,Burn it,Verbal
23311-01-008,Aalmane Ech-Chouf 008,Mount Lebanon,Chouf,Aalmane Ech-Chouf, Aalmane 008,33.5936,35.41421,IS- Informal Settlement,Less than 4,1,5,2/16/16,PU-AMI,First Update - 2016,4/17/15,3/17/11,1,1,Water Network,Burn it,Verbal
23311-01-009,Aalmane Ech-Chouf 009,Mount Lebanon,Chouf,Aalmane Ech-Chouf, Aalmane 009,33.59719,35.41506,IS- Informal Settlement,Less than 4,1,6,2/16/16,PU-AMI,First Update - 2016,4/17/15,3/17/11,1,1,Water Network,Burn it,Verbal
23311-01-010,Aalmane Ech-Chouf 010,Mount Lebanon,Chouf,Aalmane Ech-Chouf,Aalmane 10,33.59008,35.39949,IS- Informal Settlement,Less than 4,1,7,2/16/16,PU-AMI,First Update - 2016,4/17/15,3/17/11,1,1,Borehole,Burn it,Verbal
23311-01-012,Aalmane Ech-Chouf 012,Mount Lebanon,Chouf,Aalmane Ech-Chouf,Aalmane new,33.59834,35.41241,IS- Informal Settlement,Less than 4,1,8,2/16/16,PU-AMI,First Update - 2016,6/19/15,3/1/11,1,1,Spring,Burn it,Verbal
23311-01-013,Aalmane Ech-Chouf 013,Mount Lebanon,Chouf,Aalmane Ech-Chouf,Aalamane,33.59446,35.40539,IS- Informal Settlement,Less than 4,1,4,12/11/15,PU-AMI,Last Update - 2015,10/15/15,10/1/13,0,0,Borehole,Burn it,Verbal
23311-01-014,Aalmane Ech-Chouf 014,Mount Lebanon,Chouf,Aalmane Ech-Chouf,Aalamene,33.59713,35.40499,IS- Informal Settlement,Less than 4,3,13,2/16/16,PU-AMI,First Update - 2016,10/15/15,7/1/13,1,1,Water Network,Burn it,Verbal
23321-01-004,Rmeilet Ech-Chouf 004,Mount Lebanon,Chouf,Rmeilet Ech-Chouf,Rmaileh 4,33.60234,35.39001,IS- Informal Settlement,Less than 4,3,13,2/16/16,PU-AMI,First Update - 2016,1/4/14,5/5/12,3,1,Borehole,Burn it,Verbal
23321-01-007,Rmeilet Ech-Chouf 007,Mount Lebanon,Chouf,Rmeilet Ech-Chouf, Rmeile,33.60261,35.39937,IS- Informal Settlement,Less than 4,2,14,2/16/16,PU-AMI,First Update - 2016,4/17/15,3/17/11,2,1,Water Network,Burn it,Verbal
23321-01-015,Rmeilet Ech-Chouf 015,Mount Lebanon,Chouf,Rmeilet Ech-Chouf,Rmeileh,33.61491,35.40429,IS- Informal Settlement,Less than 4,1,6,2/16/16,PU-AMI,First Update - 2016,10/12/15,10/12/13,1,0,Borehole,Burn it,None
23321-01-016,Rmeilet Ech-Chouf 016,Mount Lebanon,Chouf,Rmeilet Ech-Chouf,Rmeileh,33.59715,35.39024,IS- Informal Settlement,Less than 4,3,17,2/16/16,PU-AMI,First Update - 2016,10/11/15,8/1/13,2,1,Borehole,Burn it,Verbal
23321-01-017,Rmeilet Ech-Chouf 017,Mount Lebanon,Chouf,Rmeilet Ech-Chouf,Rmeile,33.61509,35.40328,IS- Informal Settlement,Less than 4,2,11,2/16/16,PU-AMI,First Update - 2016,12/15/15,11/28/15,1,0,Borehole,Municipality Collection,Verbal
23386-01-001,Bsaba Ech-Chouf 001,Mount Lebanon,Chouf,Bsaba Ech-Chouf, Marj Besri IS,33.59761,35.57728,IS- Informal Settlement,Less than 4,1,8,12/14/15,PU-AMI,Last Update - 2015,8/12/14,1/28/14,0,0,Spring,Burn it,Verbal
24111-01-001,Choueifat El-Aamrousiy‚ 001,Mount Lebanon,Aley,Choueifat El-Aamrousiy‚,Choueifat Al Sahra IS,33.81747,35.64807,IS- Informal Settlement,Less than 4,1,9,1/5/16,PU-AMI,Last Update - 2015,4/13/15,3/16/11,0,0,Borehole,Burn it,None
24155-01-002,Choueifat El-Oumara 002,Mount Lebanon,Aley,Choueifat El-Oumara,Choueifat Ghandour ITS,33.80995,35.51095,IS- Informal Settlement,Active,18,48,12/21/15,PU-AMI,Last Update - 2015,5/27/14,1/18/12,0,0,Water Trucking,Municipality Collection,None
24155-01-003,Choueifat El-Oumara 003,Mount Lebanon,Aley,Choueifat El-Oumara,Choueifat IS3,33.81152,35.51043,IS- Informal Settlement,Active,4,29,12/21/15,PU-AMI,Last Update - 2015,4/13/15,3/26/11,0,0,Water Network,Municipality Collection,None
25141-01-001,Ouata Sillam 001,Mount Lebanon,Kasrouane,Ouata Sillam,tabarja 4,34.02716,35.62467,IS- Informal Settlement,Less than 4,2,13,2/18/16,PU-AMI,First Update - 2016,11/6/15,10/15/15,1,0,Water Network,Dump it outside the camp,None
25141-01-002,Ouata Sillam 002,Mount Lebanon,Kasrouane,Ouata Sillam,tabarja 5,34.02495,35.62479,IS- Informal Settlement,Active,4,19,2/18/16,PU-AMI,First Update - 2016,11/6/15,1/1/12,2,0,Borehole,Dump it outside the camp,None
25141-01-003,Ouata Sillam 003,Mount Lebanon,Kasrouane,Ouata Sillam,tabarja 3,34.02696,35.62724,IS- Informal Settlement,Less than 4,1,11,2/18/16,PU-AMI,First Update - 2016,11/6/15,1/1/15,2,0,Borehole,Dump it outside the camp,None
25141-01-004,Ouata Sillam 004,Mount Lebanon,Kasrouane,Ouata Sillam,tabarja 6,34.02406,35.62431,IS- Informal Settlement,Less than 4,2,9,2/18/16,PU-AMI,First Update - 2016,11/6/15,1/1/13,2,0,Water Network,Dump it outside the camp,None
25141-01-005,Ouata Sillam 005,Mount Lebanon,Kasrouane,Ouata Sillam,tabarja 7,34.02295,35.62511,IS- Informal Settlement,Less than 4,3,27,2/18/16,PU-AMI,First Update - 2016,11/6/15,1/1/13,3,1,Water Network,Dump it outside the camp,None
25141-01-006,Ouata Sillam 006,Mount Lebanon,Kasrouane,Ouata Sillam,tabarja 8,34.02153,35.62703,IS- Informal Settlement,Less than 4,1,3,2/18/16,PU-AMI,First Update - 2016,11/6/15,7/1/15,1,0,Water Network,Dump it outside the camp,None
25141-01-007,Ouata Sillam 007,Mount Lebanon,Kasrouane,Ouata Sillam,Tabarja 9,34.02081,35.62552,IS- Informal Settlement,Less than 4,1,5,2/18/16,PU-AMI,First Update - 2016,2/18/16,1/1/13,1,1,Water Network,Dump it outside the camp,None
25146-01-001,Kfar Yassine 001,Mount Lebanon,Kasrouane,Kfar Yassine,Tabarja 1,34.02615,35.63277,IS- Informal Settlement,Less than 4,2,9,2/18/16,PU-AMI,First Update - 2016,11/6/15,1/1/13,2,0,Borehole,Municipality Collection,None
25146-01-002,Kfar Yassine 002,Mount Lebanon,Kasrouane,Kfar Yassine,tabarja 2,34.02641,35.63208,IS- Informal Settlement,Less than 4,2,12,2/18/16,PU-AMI,First Update - 2016,11/6/15,1/1/13,1,1,Water Network,Municipality Collection,None
25166-01-003,Bouar 003,Mount Lebanon,Kasrouane,Bouar,Bouar IS ,34.04892,35.63595,IS- Informal Settlement,Less than 4,1,18,2/22/16,PU-AMI,First Update - 2016,6/29/15,12/16/14,1,0,Water Network,Municipality Collection,Verbal
25171-01-001,Aaqaib‚ Kesrouane 001,Mount Lebanon,Kasrouane,Aaqaib‚ Kesrouane,Bouar,34.0534,35.63661,IS- Informal Settlement,Less than 4,1,11,2/22/16,PU-AMI,First Update - 2016,8/6/14,10/1/11,1,1,Spring,Burn it,Verbal
25171-01-002,Aaqaib‚ Kesrouane 002,Mount Lebanon,Kasrouane,Aaqaib‚ Kesrouane,Aaqaibe IS,34.05102,35.63904,IS- Informal Settlement,Less than 4,3,13,12/7/15,PU-AMI,First Update - 2016,4/15/15,3/1/11,2,2,Spring,Municipality Collection,Verbal
25171-01-004,Aaqaib‚ Kesrouane 004,Mount Lebanon,Kasrouane,Aaqaib‚ Kesrouane,Aaqaibeh Kesrouane,34.05168,35.64055,IS- Informal Settlement,Less than 4,1,10,2/22/16,PU-AMI,First Update - 2016,10/21/15,9/15/12,1,0,Spring,Municipality Collection,Verbal
25176-01-001,Bqaq Ed-Dine 001,Mount Lebanon,Kasrouane,Bqaq Ed-Dine,Aaqaibe IS3,34.06018,35.64412,IS- Informal Settlement,Less than 4,1,6,2/22/16,PU-AMI,First Update - 2016,4/15/15,4/15/14,1,0,Water Network,Municipality Collection,Verbal
25261-01-001,Jaaita 001,Mount Lebanon,Kasrouane,Jaaita,Jeita,33.94524,35.65238,IS- Informal Settlement,Less than 4,2,13,2/22/16,PU-AMI,First Update - 2016,1/7/16,9/1/15,1,1,Water Network,Municipality Collection,Verbal
25311-01-001,Ghazir 001,Mount Lebanon,Kasrouane,Ghazir,Ghazir,34.01891,35.6701,IS- Informal Settlement,Active,8,57,2/22/16,PU-AMI,First Update - 2016,4/16/15,3/16/11,8,5,Water Network,Municipality Collection,Verbal
25311-01-002,Ghazir 002,Mount Lebanon,Kasrouane,Ghazir,Ghazir 2,34.01897,35.66455,IS- Informal Settlement,Less than 4,1,4,12/10/15,PU-AMI,Last Update - 2015,10/30/15,10/1/13,0,0,Spring,Municipality Collection,Verbal
25371-01-001,Nahr Ed-Dahab 001,Mount Lebanon,Kasrouane,Nahr Ed-Dahab,Nahr ed dahab,34.05331,35.73492,IS- Informal Settlement,Active,5,22,2/19/16,PU-AMI,First Update - 2016,8/26/15,3/1/11,3,3,Water Network,Burn it,None
25423-01-001,Aachqout 001,Mount Lebanon,Kasrouane,Aachqout,Achqout,33.98944,35.70905,IS- Informal Settlement,Less than 4,1,8,2/24/16,PU-AMI,First Update - 2016,8/26/15,8/27/13,1,1,Water Network,Municipality Collection,Verbal
25431-01-002,Beqaata Aachqout 002,Mount Lebanon,Kasrouane,Beqaata Aachqout,Baqaata Achqout ,34.00791,35.73775,IS- Informal Settlement,Less than 4,2,6,12/2/15,PU-AMI,First Update - 2016,8/19/15,7/19/15,2,1,Borehole,Municipality Collection,Verbal
25443-01-001,Beqaata Kanaan 001,Mount Lebanon,Kasrouane,Beqaata Kanaan,Beqaata Kanaan,33.96218,35.76733,IS- Informal Settlement,Less than 4,2,9,2/23/16,PU-AMI,First Update - 2016,6/8/15,7/1/14,1,0,Water Network,Burn it,Verbal
25455-01-021,Ouata El-Jaouz 021,Mount Lebanon,Kasrouane,Ouata El-Jaouz,,34.01522,35.74426,IS- Informal Settlement,Less than 4,1,14,2/19/16,PU-AMI,First Update - 2016,8/20/15,1/1/14,1,1,Borehole,Burn it,None
26111-01-001,Jbayl 001,Mount Lebanon,Jubail,Jbayl,jubail,34.13157,35.65503,IS- Informal Settlement,Less than 4,1,5,2/18/16,PU-AMI,First Update - 2016,4/15/14,8/15/13,1,1,Water Trucking,Dump it outside the camp,Verbal
26111-01-002,Jbayl 002,Mount Lebanon,Jubail,Jbayl,jbeil IS2,34.13076,35.65027,IS- Informal Settlement,Less than 4,1,7,2/18/16,PU-AMI,First Update - 2016,4/1/15,1/1/10,1,1,Water Network,Municipality Collection,Verbal
26111-01-003,Jbayl 003,Mount Lebanon,Jubail,Jbayl,Jbayl,34.12811,35.65705,IS- Informal Settlement,Less than 4,1,5,2/18/16,PU-AMI,First Update - 2016,8/25/15,12/1/12,1,0,Others,Municipality Collection,Verbal
26111-01-004,Jbayl 004,Mount Lebanon,Jubail,Jbayl,Jbeil,34.12807,35.64362,IS- Informal Settlement,Less than 4,1,6,2/19/16,PU-AMI,First Update - 2016,12/7/15,7/1/15,1,0,Water Network,Municipality Collection,Verbal
26117-01-001,Mastita 001,Mount Lebanon,Jubail,Mastita,Halate 5,34.10131,35.65733,IS- Informal Settlement,Less than 4,2,6,2/22/16,PU-AMI,First Update - 2016,2/22/16,1/1/15,1,0,River,Municipality Collection,
26147-01-001,Halate 001,Mount Lebanon,Jubail,Halate,Fidar IS,34.09596,35.65606,IS- Informal Settlement,Less than 4,3,17,2/18/16,PU-AMI,First Update - 2016,4/15/15,3/15/11,3,3,Spring,Municipality Collection,Verbal
26147-01-002,Halate 002,Mount Lebanon,Jubail,Halate,Halate,34.07988,35.65145,IS- Informal Settlement,Active,5,20,2/19/16,PU-AMI,First Update - 2016,4/21/15,3/21/11,2,0,Others,Municipality Collection,Verbal
26147-01-003,Halate 003,Mount Lebanon,Jubail,Halate,Halate,34.0876,35.6517,IS- Informal Settlement,Less than 4,2,10,2/19/16,PU-AMI,First Update - 2016,8/25/15,12/12/12,1,0,Spring,Municipality Collection,Verbal
26147-01-004,Halate 004,Mount Lebanon,Jubail,Halate,Halate 4,34.08632,35.6521,IS- Informal Settlement,Less than 4,2,9,2/19/16,PU-AMI,First Update - 2016,2/19/16,1/1/11,1,1,Water Network,Municipality Collection,Verbal
26284-01-001,Hboub 001,Mount Lebanon,Jubail,Hboub,IS3,34.12645,35.69119,IS- Informal Settlement,Less than 4,2,8,2/18/16,PU-AMI,First Update - 2016,4/2/15,1/1/13,1,1,Water Network,Dump it outside the camp,Verbal
26331-01-001,Lassa 001,Mount Lebanon,Jubail,Lassa,Lassa,34.07334,35.85292,IS- Informal Settlement,Active,6,55,1/6/16,PU-AMI,Last Update - 2015,8/26/15,5/1/15,0,0,Water Trucking,Municipality Collection,None
26347-01-002,Yanouh Jbayl 002,Mount Lebanon,Jubail,Yanouh Jbayl,yanouh,34.09209,35.88159,IS- Informal Settlement,Active,7,37,1/6/16,PU-AMI,Last Update - 2015,10/29/15,7/15/15,0,0,Water Trucking,Burn it,Verbal
26371-01-001,Aaqoura 001,Mount Lebanon,Jubail,Aaqoura, Aaqoura,34.12409,35.89911,IS- Informal Settlement,Less than 4,1,5,1/6/16,PU-AMI,Last Update - 2015,8/19/15,5/10/15,0,0,Water Trucking,Municipality Collection,Verbal
31111-01-001,Trablous Ez-Zeitoun 001,North,Tripoli,Trablous Ez-Zeitoun,Abu samra 1,34.4108,35.84361,IS- Informal Settlement,Active,18,51,2/3/16,Solidarites,First Update - 2016,4/14/14,5/7/12,3,9,Water Trucking,Municipality Collection,Verbal
31186-01-002,Mina Jardin 002,North,Tripoli,Mina Jardin,Mina jardin 2,34.43631,35.81453,IS- Informal Settlement,Less than 4,2,9,2/18/16,Solidarites,First Update - 2016,10/1/15,6/1/13,1,1,Water Network,Municipality Collection,Verbal
32119-01-003,Bterram 003,North,Koura,Bterram,Bterram 2,34.33501,35.82287,IS- Informal Settlement,Active,4,16,2/3/16,Solidarites,First Update - 2016,11/1/15,5/31/15,1,1,Water Network,Burn it,Verbal
32119-01-004,Bterram 004,North,Koura,Bterram,Bterram 3,34.33872,35.82239,IS- Informal Settlement,Active,4,23,2/3/16,Solidarites,First Update - 2016,11/2/15,6/1/15,4,4,Water Network,Dump it outside the camp,Verbal
32121-01-001,Bziza 001,North,Koura,Bziza,khan Bziza 1,34.285,35.8298,IS- Informal Settlement,Active,8,40,2/18/16,Solidarites,First Update - 2016,4/17/14,6/17/12,3,3,Borehole,Dump it outside the camp,None
32125-01-002,Bsarma 002,North,Koura,Bsarma,Bsarma 3,34.32581,35.84296,IS- Informal Settlement,Less than 4,2,13,2/3/16,Solidarites,First Update - 2016,6/9/14,5/7/12,0,0,Borehole,Burn it,Verbal
32125-01-003,Bsarma 003,North,Koura,Bsarma,Bsarma 1,34.34159,35.83882,IS- Informal Settlement,Less than 4,1,9,2/1/16,Solidarites,First Update - 2016,6/9/14,9/17/10,1,1,Water Network,Municipality Collection,Verbal
